iter	RMSE
0	18.79743736
1	17.85436553
2	16.92520491
3	16.07486587
4	15.30604298
5	14.56402999
6	13.86453043
7	13.22005229
8	12.62106103
9	12.03809349
10	11.51074371
11	10.99954998
12	10.54942338
13	10.13151392
14	9.736866248
15	9.364819362
16	9.018447996
17	8.701988313
18	8.415557021
19	8.154634453
20	7.912417326
21	7.684928201
22	7.482249505
23	7.298201476
24	7.125206854
25	6.967213664
26	6.822982435
27	6.694282635
28	6.579035294
29	6.468654324
30	6.36718323
31	6.276889229
32	6.199237154
33	6.131279373
34	6.063281264
35	6.00480056
36	5.95018897
37	5.904059075
38	5.856050361
39	5.817200665
40	5.782570813
41	5.750174291
42	5.719714259
43	5.691617565
44	5.665174324
45	5.642523255
46	5.622562703
47	5.605617994
48	5.587805518
49	5.57211198
50	5.556336253
51	5.544220923
52	5.532886803
53	5.52301366
54	5.511904198
55	5.504287057
56	5.495157363
57	5.487766504
58	5.47943196
59	5.472109329
60	5.465380883
61	5.458705401
62	5.452349622
63	5.448408439
64	5.443818575
65	5.439322358
66	5.435498806
67	5.431661575
68	5.428154784
69	5.424635736
70	5.420368435
71	5.416692433
72	5.413474417
73	5.410964083
74	5.408158547
75	5.405788249
76	5.402927222
77	5.399403069
78	5.397506751
79	5.394089725
80	5.392195428
81	5.389209154
82	5.38478566
83	5.380881316
84	5.379249671
85	5.377885872
86	5.376254424
87	5.374514652
88	5.371957747
89	5.370355799
90	5.36813601
91	5.367181461
92	5.365478215
93	5.363852743
94	5.362626502
95	5.36128131
96	5.359825673
97	5.358862248
98	5.357695561
99	5.355350637
100	5.354246384
101	5.35161945
102	5.350504648
103	5.34850144
104	5.347022593
105	5.345176769
106	5.344358687
107	5.343368255
108	5.342077087
109	5.339513432
110	5.338724109
111	5.337328242
112	5.336254631
113	5.333855666
114	5.332151251
115	5.329354751
116	5.326285546
117	5.324761368
118	5.322463282
119	5.321209643
120	5.320472405
121	5.319574833
122	5.318563449
123	5.316545097
124	5.315239954
125	5.313484142
126	5.3122095
127	5.311406963
128	5.310633114
129	5.309207226
130	5.30755815
131	5.306672297
132	5.304947257
133	5.303485803
134	5.301289175
135	5.299957855
136	5.298995336
137	5.297520721
138	5.296958086
139	5.295780702
140	5.294756135
141	5.292890548
142	5.29238452
143	5.290322594
144	5.289080114
145	5.288629666
146	5.287005
147	5.286015806
148	5.284905063
149	5.283589137
150	5.282439764
151	5.281060923
152	5.279890847
153	5.278085559
154	5.276179845
155	5.275209124
156	5.274012841
157	5.272589769
158	5.271747604
159	5.270143754
160	5.269052865
161	5.26797581
162	5.267118827
163	5.266161247
164	5.265201368
165	5.264448226
166	5.262822019
167	5.26134783
168	5.260335637
169	5.259525765
170	5.258956345
171	5.257728999
172	5.256818018
173	5.255993354
174	5.254898528
175	5.25412619
176	5.253459477
177	5.252354085
178	5.25149195
179	5.250189494
180	5.249432374
181	5.248470342
182	5.247639083
183	5.246941247
184	5.24591814
185	5.245046448
186	5.244216523
187	5.243681772
188	5.242821904
189	5.242026794
190	5.240438629
191	5.239835843
192	5.238615688
193	5.237890369
194	5.236547548
195	5.235036412
196	5.233365623
197	5.232732384
198	5.2320708
199	5.23149655
200	5.230734071
201	5.229306352
202	5.228783872
203	5.226754668
204	5.226235793
205	5.225337445
206	5.224636121
207	5.223881077
208	5.223314972
209	5.222641973
210	5.222031035
211	5.220780995
212	5.21981058
213	5.219109087
214	5.217830825
215	5.217063237
216	5.216252157
217	5.215697251
218	5.214858517
219	5.213876448
220	5.213111
221	5.212283008
222	5.211432475
223	5.210588704
224	5.209850816
225	5.209190922
226	5.20834732
227	5.20758318
228	5.206470573
229	5.205783267
230	5.205315509
231	5.204376481
232	5.203387128
233	5.202675941
234	5.202055396
235	5.201286713
236	5.200541936
237	5.199327495
238	5.198350148
239	5.197329704
240	5.196884215
241	5.196372492
242	5.195563624
243	5.194881062
244	5.193752381
245	5.192803297
246	5.192145244
247	5.190959797
248	5.190330963
249	5.189608747
250	5.188666024
251	5.18808381
252	5.187367721
253	5.186166081
254	5.185370267
255	5.184802656
256	5.183862392
257	5.18337875
258	5.18256233
259	5.181326516
260	5.180650977
261	5.1797965
262	5.17905177
263	5.178508963
264	5.177500315
265	5.176669567
266	5.17597522
267	5.175616902
268	5.175271821
269	5.17491289
270	5.174174995
271	5.173491314
272	5.173036793
273	5.17244419
274	5.171910466
275	5.171088288
276	5.170459104
277	5.16990338
278	5.169235655
279	5.168604974
280	5.167969454
281	5.167455109
282	5.166905998
283	5.165854324
284	5.165218512
285	5.164584152
286	5.163967509
287	5.16327933
288	5.162713687
289	5.161676171
290	5.161026071
291	5.160077933
292	5.159406924
293	5.158694175
294	5.158232077
295	5.157877041
296	5.156980671
297	5.156134361
298	5.15505437
299	5.154560561
300	5.15408124
301	5.153499853
302	5.152644171
303	5.151952645
304	5.150953676
305	5.150099065
306	5.149323857
307	5.148485872
308	5.148081052
309	5.147310223
310	5.146442106
311	5.145881484
312	5.145350765
313	5.14450505
314	5.144194883
315	5.143195904
316	5.142772463
317	5.141901064
318	5.141682916
319	5.140909674
320	5.140207184
321	5.139836888
322	5.139031675
323	5.138623363
324	5.138113383
325	5.13729177
326	5.136504112
327	5.13536484
328	5.13454055
329	5.134007575
330	5.132943376
331	5.132117278
332	5.131443659
333	5.130887996
334	5.130351823
335	5.129878815
336	5.129417955
337	5.128753036
338	5.127884009
339	5.127055508
340	5.126360453
341	5.125799774
342	5.12508474
343	5.124377516
344	5.124026995
345	5.123094883
346	5.122508509
347	5.122150972
348	5.121635808
349	5.121224516
350	5.120667528
351	5.120150014
352	5.119338869
353	5.118637543
354	5.11770709
355	5.11707339
356	5.115903262
357	5.115187055
358	5.114485423
359	5.11404195
360	5.113629099
361	5.113193075
362	5.112315665
363	5.111781347
364	5.111215903
365	5.110593548
366	5.110153253
367	5.109745744
368	5.109038949
369	5.10868277
370	5.108039928
371	5.107742396
372	5.107121399
373	5.106577344
374	5.105899219
375	5.10504527
376	5.104364461
377	5.10345143
378	5.102900045
379	5.102349599
380	5.10173722
381	5.101320516
382	5.10098343
383	5.100282351
384	5.099512144
385	5.099133745
386	5.097996888
387	5.0973764
388	5.096465978
389	5.095720371
390	5.095022049
391	5.094397295
392	5.093433154
393	5.093007253
394	5.092491031
395	5.091862938
396	5.091228969
397	5.09085717
398	5.090351683
399	5.089518224
400	5.088862589
401	5.087937297
402	5.087594564
403	5.086802027
404	5.08640058
405	5.085720334
406	5.085243688
407	5.084684123
408	5.084286397
409	5.083630068
410	5.082921027
411	5.082465825
412	5.082082177
413	5.08136016
414	5.080674638
415	5.080212559
416	5.079626177
417	5.07924336
418	5.078706745
419	5.078003904
420	5.077328268
421	5.07636853
422	5.075508271
423	5.074782718
424	5.074309115
425	5.07367852
426	5.073257652
427	5.072816007
428	5.072436949
429	5.071562669
430	5.070931202
431	5.070455518
432	5.06977294
433	5.068989673
434	5.068324507
435	5.067531361
436	5.066984635
437	5.066506631
438	5.065700244
439	5.065282292
440	5.064881165
441	5.064264115
442	5.063694288
443	5.063379641
444	5.063120576
445	5.062328615
446	5.061889749
447	5.06133409
448	5.061104437
449	5.060549209
450	5.06010865
451	5.059377501
452	5.058674411
453	5.058189205
454	5.057591234
455	5.056601906
456	5.056215893
457	5.055589851
458	5.055179998
459	5.054751547
460	5.054094379
461	5.053813946
462	5.053217629
463	5.052789738
464	5.051986028
465	5.051548007
466	5.051015354
467	5.050445761
468	5.049481602
469	5.048937783
470	5.048112079
471	5.047664256
472	5.047256059
473	5.046560571
474	5.04595011
475	5.045380465
476	5.045036326
477	5.044629715
478	5.043964174
479	5.043093541
480	5.042676927
481	5.042109123
482	5.041539671
483	5.040978139
484	5.040581875
485	5.040089523
486	5.039758082
487	5.039449602
488	5.038970289
489	5.03825297
490	5.037754955
491	5.037046887
492	5.036563269
493	5.035882172
494	5.035489026
495	5.034965569
496	5.034795237
497	5.034581406
498	5.034209963
499	5.033582445
500	5.032861518
501	5.032430828
502	5.03193206
503	5.031603864
504	5.031229723
505	5.030858447
506	5.030553135
507	5.02972303
508	5.029314678
509	5.028942625
510	5.028560156
511	5.028053448
512	5.027498375
513	5.027134956
514	5.02651607
515	5.025948337
516	5.025644684
517	5.025231591
518	5.024910551
519	5.024517404
520	5.023611236
521	5.023059573
522	5.022569657
523	5.022330928
524	5.022143287
525	5.021511931
526	5.021141892
527	5.020913538
528	5.020493786
529	5.020182337
530	5.019745907
531	5.019578232
532	5.019091701
533	5.018611458
534	5.018201666
535	5.01784787
536	5.017577077
537	5.017103685
538	5.016600003
539	5.016100849
540	5.015429957
541	5.014834999
542	5.014439453
543	5.013925758
544	5.013547049
545	5.012948973
546	5.012581625
547	5.011786245
548	5.011215588
549	5.01062532
550	5.010223474
551	5.009400613
552	5.008826658
553	5.008431016
554	5.008033087
555	5.007559412
556	5.007082047
557	5.006708172
558	5.00613752
559	5.005644302
560	5.005351675
561	5.004981332
562	5.004309134
563	5.003728173
564	5.003416836
565	5.003175911
566	5.002802373
567	5.002200013
568	5.001711026
569	5.001049572
570	5.000537581
571	5.000113417
572	4.999757883
573	4.999168639
574	4.99868089
575	4.998010942
576	4.997813388
577	4.997035483
578	4.996808754
579	4.9960947
580	4.995474938
581	4.994958977
582	4.994102352
583	4.993769923
584	4.993395692
585	4.99304651
586	4.992196667
587	4.991543233
588	4.990991641
589	4.990569804
590	4.990167014
591	4.989480568
592	4.988846433
593	4.988328573
594	4.987910599
595	4.98707566
596	4.986856837
597	4.986147196
598	4.985696213
599	4.985195576
600	4.984680281
601	4.984337818
602	4.984079346
603	4.983723242
604	4.983258075
605	4.982635391
606	4.982215506
607	4.981528829
608	4.980782773
609	4.98042842
610	4.980069082
611	4.979741857
612	4.979327204
613	4.978885581
614	4.978668162
615	4.978242014
616	4.97763157
617	4.977322831
618	4.976816242
619	4.976315366
620	4.976058674
621	4.975623392
622	4.975348024
623	4.975026574
624	4.974593428
625	4.973959614
626	4.973454956
627	4.97304428
628	4.972340213
629	4.972109959
630	4.971674695
631	4.971201778
632	4.970793295
633	4.970413261
634	4.969939217
635	4.969524751
636	4.969404831
637	4.968853571
638	4.968380378
639	4.968061558
640	4.967588352
641	4.967254385
642	4.966631238
643	4.966194999
644	4.965620576
645	4.965052011
646	4.964736167
647	4.963793568
648	4.963508519
649	4.963231047
650	4.962923523
651	4.962268943
652	4.961644184
653	4.961233249
654	4.960832097
655	4.960434964
656	4.960049505
657	4.959715171
658	4.959233812
659	4.958748932
660	4.95834656
661	4.957724478
662	4.957210457
663	4.956895726
664	4.95663943
665	4.95622312
666	4.955912259
667	4.955715586
668	4.954979723
669	4.954576384
670	4.954150775
671	4.953589798
672	4.953389728
673	4.952934201
674	4.952309578
675	4.951897186
676	4.95133786
677	4.950728542
678	4.950299889
679	4.949923761
680	4.949433199
681	4.949054265
682	4.948687787
683	4.948440159
684	4.948091883
685	4.94772914
686	4.947303492
687	4.946592192
688	4.946408775
689	4.945926786
690	4.945377094
691	4.944976305
692	4.944714737
693	4.944408794
694	4.944023424
695	4.943766759
696	4.943268152
697	4.942835673
698	4.942501827
699	4.942311861
700	4.941837997
701	4.941278378
702	4.941039578
703	4.940938599
704	4.940660023
705	4.94015013
706	4.939718871
707	4.939360233
708	4.938816684
709	4.938673287
710	4.938170574
711	4.937819735
712	4.937299246
713	4.936616724
714	4.936201512
715	4.935784001
716	4.935517499
717	4.934999883
718	4.934701119
719	4.934505301
720	4.934229635
721	4.93373637
722	4.933482284
723	4.932965447
724	4.932593522
725	4.932482214
726	4.932178986
727	4.931911131
728	4.931446627
729	4.930568447
730	4.930138858
731	4.929910197
732	4.929616844
733	4.929323375
734	4.928928585
735	4.928417005
736	4.928026648
737	4.927660952
738	4.927268657
739	4.926779162
740	4.92643024
741	4.926175776
742	4.925752026
743	4.925362507
744	4.925145152
745	4.924684312
746	4.924349851
747	4.924004899
748	4.92372145
749	4.923226771
750	4.922666736
751	4.92226489
752	4.92175558
753	4.921182008
754	4.920840819
755	4.920353323
756	4.919664581
757	4.91912289
758	4.918731886
759	4.918330454
760	4.918056208
761	4.91779207
762	4.917176279
763	4.916764646
764	4.91630835
765	4.916014638
766	4.915568892
767	4.915251741
768	4.914835611
769	4.914292543
770	4.91391766
771	4.913594327
772	4.912744804
773	4.912552047
774	4.912291245
775	4.912083772
776	4.911730757
777	4.911387533
778	4.911282826
779	4.910926047
780	4.910565822
781	4.909788115
782	4.909219854
783	4.908889735
784	4.908437396
785	4.908049652
786	4.90759251
787	4.907184361
788	4.906976527
789	4.906601533
790	4.906184376
791	4.90563177
792	4.905321646
793	4.905049875
794	4.904765405
795	4.904532643
796	4.903862529
797	4.903418827
798	4.903293848
799	4.902784347
800	4.902420215
801	4.901927948
802	4.901747501
803	4.901428767
804	4.901156207
805	4.900796697
806	4.900559026
807	4.900062416
808	4.899878212
809	4.89953939
810	4.899196435
811	4.898723651
812	4.898266633
813	4.897776489
814	4.897550014
815	4.897018781
816	4.896495943
817	4.896031502
818	4.895635092
819	4.895205037
820	4.894953051
821	4.894776433
822	4.894619122
823	4.894477881
824	4.894263914
825	4.89403321
826	4.893695791
827	4.893464411
828	4.893085129
829	4.892869685
830	4.892549804
831	4.892322775
832	4.892163553
833	4.891641642
834	4.891556527
835	4.891301043
836	4.890983984
837	4.89078488
838	4.890398002
839	4.890049119
840	4.889664871
841	4.8889728
842	4.88867691
843	4.888278607
844	4.887913751
845	4.887489279
846	4.887164824
847	4.886829139
848	4.88672202
849	4.886311835
850	4.885982777
851	4.885414915
852	4.884674975
853	4.884263779
854	4.884010571
855	4.883687058
856	4.883187935
857	4.882559256
858	4.882412066
859	4.882010547
860	4.881867767
861	4.881517425
862	4.881272302
863	4.881085372
864	4.880727883
865	4.880464444
866	4.880027273
867	4.879770931
868	4.879335729
869	4.879004235
870	4.878435049
871	4.877991121
872	4.877762019
873	4.877498857
874	4.876984812
875	4.876456652
876	4.876321194
877	4.875810119
878	4.875632727
879	4.875399417
880	4.875084033
881	4.87487954
882	4.874561539
883	4.874036837
884	4.873727545
885	4.873325602
886	4.873203508
887	4.872909666
888	4.872383197
889	4.872037444
890	4.871753572
891	4.871534612
892	4.871327559
893	4.871074019
894	4.870809128
895	4.870247934
896	4.870016498
897	4.869671255
898	4.869280734
899	4.868690947
900	4.86845239
901	4.868236328
902	4.86780421
903	4.867650772
904	4.867282009
905	4.866939669
906	4.866747959
907	4.866474273
908	4.86603845
909	4.865712355
910	4.865630738
911	4.86525931
912	4.864563515
913	4.864432765
914	4.864185345
915	4.864049779
916	4.863706641
917	4.863377379
918	4.86318519
919	4.862755587
920	4.862520429
921	4.862404128
922	4.861898409
923	4.861704218
924	4.860960264
925	4.860524787
926	4.860165278
927	4.859947131
928	4.859629357
929	4.859084772
930	4.858759371
931	4.858619541
932	4.858059418
933	4.857925731
934	4.857631652
935	4.856888136
936	4.856615676
937	4.856300971
938	4.855984453
939	4.855853925
940	4.855488689
941	4.85524069
942	4.85514114
943	4.854901776
944	4.854623987
945	4.854363374
946	4.85427656
947	4.854040708
948	4.853835859
949	4.853267414
950	4.85275681
951	4.852512245
952	4.85212737
953	4.851971566
954	4.851683341
955	4.851139482
956	4.850904432
957	4.850356957
958	4.850138487
959	4.849810537
960	4.849630174
961	4.849168223
962	4.848718857
963	4.848441618
964	4.8479888
965	4.847707903
966	4.847265381
967	4.847175806
968	4.846823867
969	4.846214555
970	4.845909152
971	4.845565693
972	4.845225294
973	4.844909945
974	4.844540921
975	4.844190135
976	4.843789962
977	4.843583571
978	4.843192781
979	4.843005713
980	4.842875448
981	4.842404953
982	4.842094759
983	4.841633819
984	4.841531412
985	4.841399977
986	4.841084779
987	4.840480775
988	4.839957533
989	4.839654789
990	4.839006011
991	4.838672343
992	4.838379082
993	4.838018992
994	4.83757175
995	4.837094779
996	4.836909972
997	4.836590185
998	4.836091845
999	4.835929641
