iter	Passed	Remaining
0	160	160160
1	166	83194
2	173	57633
3	180	44985
4	186	37073
5	195	32458
6	201	28601
7	207	25723
8	213	23473
9	219	21688
10	228	20588
11	235	19383
12	241	18300
13	245	17316
14	251	16503
15	258	15923
16	264	15307
17	270	14741
18	275	14228
19	281	13788
20	287	13413
21	293	13051
22	298	12686
23	304	12368
24	309	12060
25	314	11764
26	320	11552
27	325	11308
28	330	11072
29	336	10871
30	341	10663
31	349	10566
32	355	10430
33	361	10277
34	367	10132
35	373	9993
36	380	9893
37	385	9755
38	391	9638
39	397	9533
40	402	9420
41	408	9328
42	415	9245
43	421	9162
44	428	9090
45	434	9003
46	439	8920
47	447	8867
48	452	8772
49	457	8700
50	463	8618
51	468	8538
52	474	8475
53	479	8403
54	484	8333
55	490	8262
56	497	8224
57	502	8162
58	510	8136
59	515	8079
60	524	8072
61	529	8013
62	536	7975
63	542	7938
64	548	7891
65	554	7847
66	561	7815
67	569	7803
68	575	7760
69	581	7729
70	589	7710
71	595	7671
72	603	7662
73	608	7617
74	614	7579
75	619	7535
76	624	7488
77	629	7444
78	635	7405
79	640	7364
80	645	7326
81	651	7289
82	656	7249
83	662	7220
84	667	7183
85	672	7152
86	678	7118
87	683	7084
88	689	7054
89	696	7043
90	703	7030
91	709	7004
92	715	6977
93	720	6946
94	728	6936
95	733	6905
96	739	6885
97	745	6859
98	751	6843
99	762	6862
100	773	6882
101	779	6860
102	784	6832
103	791	6821
104	796	6793
105	802	6767
106	807	6737
107	812	6708
108	817	6684
109	823	6662
110	828	6635
111	834	6613
112	839	6587
113	844	6563
114	850	6547
115	856	6530
116	862	6512
117	869	6497
118	877	6495
119	888	6514
120	894	6497
121	900	6482
122	906	6465
123	913	6451
124	920	6441
125	925	6420
126	931	6403
127	939	6400
128	950	6420
129	959	6421
130	967	6419
131	972	6396
132	980	6389
133	988	6388
134	994	6373
135	999	6352
136	1005	6333
137	1014	6336
138	1019	6315
139	1027	6309
140	1033	6296
141	1044	6312
142	1054	6321
143	1065	6331
144	1075	6340
145	1083	6340
146	1090	6325
147	1095	6307
148	1104	6305
149	1111	6296
150	1116	6277
151	1122	6262
152	1127	6243
153	1133	6224
154	1140	6215
155	1146	6200
156	1152	6185
157	1157	6169
158	1163	6156
159	1170	6145
160	1175	6127
161	1181	6111
162	1186	6094
163	1192	6076
164	1199	6068
165	1204	6049
166	1209	6032
167	1215	6018
168	1220	6003
169	1232	6019
170	1238	6004
171	1244	5990
172	1250	5976
173	1256	5964
174	1264	5961
175	1271	5951
176	1276	5937
177	1282	5920
178	1287	5906
179	1295	5899
180	1300	5886
181	1306	5872
182	1312	5858
183	1318	5845
184	1327	5846
185	1332	5831
186	1338	5817
187	1343	5804
188	1349	5791
189	1356	5781
190	1362	5769
191	1366	5752
192	1372	5739
193	1377	5723
194	1383	5711
195	1389	5700
196	1395	5687
197	1400	5673
198	1407	5666
199	1413	5652
200	1422	5654
201	1428	5644
202	1437	5642
203	1443	5631
204	1451	5627
205	1457	5616
206	1463	5604
207	1468	5590
208	1473	5577
209	1479	5567
210	1486	5558
211	1492	5546
212	1497	5533
213	1502	5519
214	1508	5507
215	1517	5506
216	1523	5496
217	1528	5482
218	1533	5470
219	1539	5458
220	1545	5448
221	1551	5438
222	1557	5426
223	1563	5414
224	1568	5402
225	1574	5392
226	1583	5391
227	1588	5379
228	1594	5369
229	1600	5358
230	1611	5365
231	1616	5352
232	1622	5341
233	1628	5331
234	1634	5320
235	1641	5315
236	1647	5304
237	1653	5294
238	1659	5283
239	1664	5269
240	1670	5260
241	1675	5248
242	1680	5236
243	1686	5225
244	1692	5216
245	1698	5205
246	1704	5197
247	1710	5186
248	1715	5173
249	1720	5162
250	1726	5152
251	1733	5145
252	1739	5135
253	1745	5125
254	1750	5115
255	1757	5107
256	1766	5105
257	1771	5095
258	1778	5086
259	1783	5076
260	1788	5064
261	1798	5065
262	1803	5054
263	1810	5046
264	1816	5037
265	1821	5026
266	1832	5030
267	1838	5020
268	1843	5009
269	1848	4998
270	1854	4987
271	1860	4980
272	1866	4969
273	1871	4958
274	1876	4946
275	1881	4935
276	1888	4930
277	1895	4922
278	1901	4914
279	1907	4904
280	1912	4893
281	1919	4887
282	1926	4881
283	1932	4871
284	1938	4863
285	1943	4853
286	1950	4846
287	1958	4841
288	1964	4831
289	1969	4822
290	1976	4816
291	1984	4811
292	1990	4803
293	1997	4795
294	2002	4786
295	2008	4777
296	2015	4771
297	2021	4762
298	2026	4751
299	2032	4742
300	2037	4732
301	2043	4722
302	2049	4714
303	2055	4705
304	2061	4696
305	2066	4687
306	2072	4677
307	2080	4673
308	2085	4663
309	2091	4655
310	2096	4645
311	2102	4636
312	2109	4629
313	2116	4623
314	2122	4615
315	2128	4607
316	2134	4598
317	2142	4593
318	2147	4584
319	2153	4575
320	2159	4567
321	2164	4557
322	2173	4555
323	2178	4546
324	2185	4538
325	2190	4529
326	2196	4520
327	2202	4513
328	2208	4505
329	2213	4494
330	2219	4485
331	2224	4476
332	2230	4467
333	2235	4458
334	2241	4450
335	2246	4439
336	2251	4430
337	2256	4420
338	2262	4411
339	2270	4406
340	2276	4399
341	2284	4395
342	2290	4388
343	2298	4383
344	2304	4375
345	2310	4367
346	2315	4357
347	2320	4347
348	2327	4340
349	2335	4336
350	2340	4328
351	2346	4320
352	2352	4312
353	2358	4304
354	2365	4298
355	2371	4290
356	2377	4281
357	2382	4272
358	2388	4264
359	2395	4259
360	2401	4250
361	2407	4242
362	2413	4234
363	2418	4225
364	2424	4217
365	2430	4210
366	2436	4202
367	2441	4193
368	2447	4184
369	2454	4179
370	2460	4172
371	2467	4164
372	2473	4157
373	2479	4149
374	2486	4144
375	2495	4140
376	2503	4136
377	2508	4128
378	2514	4120
379	2521	4114
380	2526	4105
381	2533	4098
382	2538	4089
383	2543	4080
384	2549	4073
385	2556	4066
386	2562	4058
387	2567	4049
388	2573	4041
389	2578	4033
390	2584	4025
391	2590	4018
392	2596	4009
393	2601	4000
394	2606	3992
395	2612	3985
396	2619	3978
397	2624	3969
398	2629	3960
399	2634	3952
400	2640	3943
401	2650	3943
402	2656	3935
403	2662	3927
404	2668	3920
405	2676	3916
406	2684	3911
407	2689	3902
408	2695	3894
409	2700	3886
410	2709	3882
411	2714	3874
412	2720	3866
413	2725	3857
414	2730	3848
415	2735	3839
416	2742	3834
417	2747	3825
418	2752	3816
419	2757	3808
420	2763	3800
421	2770	3794
422	2776	3786
423	2782	3779
424	2787	3771
425	2793	3763
426	2798	3755
427	2804	3747
428	2809	3739
429	2815	3731
430	2820	3723
431	2825	3714
432	2829	3705
433	2840	3703
434	2845	3696
435	2852	3689
436	2857	3681
437	2865	3676
438	2875	3674
439	2882	3668
440	2887	3659
441	2892	3651
442	2899	3646
443	2905	3638
444	2911	3630
445	2916	3622
446	2920	3613
447	2926	3606
448	2934	3601
449	2942	3595
450	2947	3588
451	2952	3579
452	2959	3573
453	2966	3567
454	2971	3559
455	2977	3551
456	2981	3543
457	2987	3535
458	2992	3527
459	2997	3518
460	3002	3510
461	3008	3503
462	3014	3496
463	3024	3493
464	3030	3486
465	3035	3478
466	3042	3472
467	3050	3467
468	3057	3462
469	3062	3453
470	3069	3447
471	3074	3439
472	3081	3433
473	3088	3427
474	3093	3418
475	3098	3410
476	3103	3402
477	3108	3394
478	3114	3387
479	3119	3379
480	3124	3371
481	3129	3363
482	3135	3356
483	3141	3349
484	3148	3342
485	3153	3335
486	3158	3327
487	3163	3319
488	3168	3311
489	3174	3304
490	3180	3296
491	3186	3290
492	3192	3283
493	3198	3276
494	3204	3268
495	3214	3266
496	3220	3259
497	3228	3254
498	3233	3246
499	3240	3240
500	3246	3233
501	3251	3225
502	3256	3218
503	3262	3210
504	3267	3202
505	3275	3198
506	3280	3189
507	3286	3182
508	3290	3174
509	3296	3166
510	3303	3160
511	3310	3155
512	3316	3148
513	3322	3141
514	3327	3133
515	3333	3127
516	3338	3119
517	3344	3112
518	3349	3104
519	3355	3097
520	3361	3090
521	3372	3088
522	3378	3080
523	3384	3074
524	3391	3068
525	3401	3065
526	3407	3058
527	3413	3051
528	3419	3044
529	3424	3037
530	3432	3031
531	3437	3023
532	3443	3016
533	3448	3009
534	3453	3002
535	3460	2995
536	3466	2988
537	3471	2980
538	3476	2973
539	3482	2966
540	3488	2959
541	3496	2954
542	3501	2947
543	3506	2939
544	3512	2932
545	3517	2924
546	3523	2918
547	3529	2911
548	3534	2903
549	3540	2897
550	3546	2890
551	3553	2883
552	3561	2878
553	3568	2872
554	3575	2866
555	3581	2859
556	3590	2855
557	3595	2847
558	3600	2840
559	3606	2833
560	3610	2825
561	3616	2818
562	3621	2811
563	3627	2803
564	3632	2796
565	3636	2788
566	3641	2781
567	3648	2775
568	3654	2768
569	3660	2761
570	3666	2754
571	3672	2747
572	3678	2741
573	3684	2734
574	3689	2727
575	3694	2719
576	3700	2712
577	3705	2705
578	3712	2699
579	3721	2695
580	3727	2688
581	3733	2681
582	3741	2675
583	3748	2670
584	3755	2664
585	3760	2656
586	3766	2649
587	3773	2644
588	3778	2636
589	3783	2629
590	3788	2622
591	3794	2615
592	3799	2607
593	3806	2601
594	3811	2594
595	3817	2587
596	3823	2581
597	3829	2574
598	3836	2568
599	3842	2561
600	3848	2554
601	3853	2547
602	3858	2540
603	3863	2532
604	3871	2527
605	3879	2522
606	3885	2515
607	3891	2509
608	3901	2504
609	3907	2498
610	3913	2491
611	3919	2484
612	3926	2479
613	3934	2473
614	3939	2465
615	3945	2459
616	3950	2452
617	3955	2444
618	3962	2438
619	3969	2432
620	3973	2425
621	3978	2417
622	3983	2410
623	3988	2403
624	3995	2397
625	4001	2390
626	4007	2383
627	4013	2377
628	4018	2370
629	4024	2363
630	4030	2357
631	4035	2349
632	4040	2342
633	4045	2335
634	4050	2328
635	4058	2322
636	4063	2315
637	4070	2309
638	4076	2303
639	4081	2295
640	4091	2291
641	4099	2286
642	4107	2280
643	4112	2273
644	4120	2267
645	4125	2260
646	4130	2253
647	4136	2246
648	4141	2239
649	4146	2232
650	4153	2226
651	4158	2219
652	4164	2212
653	4169	2205
654	4175	2199
655	4182	2193
656	4188	2186
657	4193	2179
658	4199	2172
659	4204	2166
660	4210	2159
661	4217	2153
662	4222	2146
663	4228	2139
664	4232	2132
665	4238	2125
666	4243	2118
667	4253	2114
668	4259	2107
669	4266	2101
670	4273	2095
671	4283	2090
672	4289	2084
673	4296	2077
674	4301	2070
675	4307	2064
676	4313	2058
677	4318	2051
678	4324	2044
679	4329	2037
680	4335	2030
681	4342	2024
682	4347	2017
683	4352	2010
684	4358	2004
685	4363	1997
686	4369	1990
687	4375	1984
688	4380	1977
689	4386	1970
690	4391	1963
691	4397	1957
692	4403	1950
693	4409	1944
694	4414	1937
695	4419	1930
696	4425	1924
697	4435	1919
698	4441	1912
699	4448	1906
700	4454	1899
701	4460	1893
702	4471	1889
703	4476	1882
704	4481	1875
705	4487	1868
706	4492	1861
707	4499	1855
708	4504	1848
709	4509	1842
710	4514	1835
711	4520	1828
712	4530	1823
713	4535	1816
714	4541	1810
715	4546	1803
716	4551	1796
717	4558	1790
718	4563	1783
719	4569	1776
720	4574	1770
721	4579	1763
722	4585	1756
723	4591	1750
724	4597	1743
725	4604	1737
726	4610	1731
727	4617	1725
728	4627	1720
729	4633	1713
730	4640	1707
731	4645	1700
732	4654	1695
733	4661	1689
734	4667	1682
735	4673	1676
736	4678	1669
737	4684	1662
738	4689	1656
739	4694	1649
740	4700	1642
741	4705	1636
742	4711	1629
743	4719	1623
744	4724	1617
745	4730	1610
746	4735	1603
747	4740	1596
748	4745	1590
749	4751	1583
750	4757	1577
751	4762	1570
752	4767	1563
753	4772	1557
754	4781	1551
755	4787	1545
756	4795	1539
757	4801	1533
758	4809	1527
759	4818	1521
760	4826	1515
761	4831	1509
762	4836	1502
763	4844	1496
764	4849	1489
765	4854	1483
766	4861	1476
767	4866	1470
768	4875	1464
769	4881	1458
770	4886	1451
771	4892	1444
772	4898	1438
773	4904	1432
774	4911	1426
775	4917	1419
776	4923	1413
777	4928	1406
778	4933	1399
779	4940	1393
780	4947	1387
781	4953	1380
782	4960	1374
783	4970	1369
784	4977	1363
785	4983	1356
786	4989	1350
787	4995	1343
788	5004	1338
789	5009	1331
790	5015	1325
791	5021	1318
792	5027	1312
793	5034	1306
794	5039	1299
795	5046	1293
796	5056	1287
797	5065	1282
798	5071	1275
799	5079	1269
800	5085	1263
801	5091	1256
802	5101	1251
803	5107	1245
804	5113	1238
805	5119	1232
806	5124	1225
807	5133	1219
808	5143	1214
809	5151	1208
810	5163	1203
811	5170	1197
812	5182	1192
813	5190	1186
814	5200	1180
815	5206	1174
816	5211	1167
817	5217	1160
818	5226	1155
819	5234	1148
820	5239	1142
821	5245	1135
822	5250	1129
823	5257	1122
824	5263	1116
825	5269	1109
826	5275	1103
827	5280	1096
828	5289	1091
829	5295	1084
830	5300	1078
831	5306	1071
832	5312	1065
833	5322	1059
834	5330	1053
835	5339	1047
836	5345	1041
837	5356	1035
838	5364	1029
839	5371	1023
840	5377	1016
841	5387	1011
842	5393	1004
843	5399	998
844	5407	991
845	5415	985
846	5421	979
847	5427	972
848	5433	966
849	5439	959
850	5445	953
851	5452	947
852	5458	940
853	5464	934
854	5470	927
855	5480	921
856	5486	915
857	5493	909
858	5498	902
859	5505	896
860	5517	890
861	5524	884
862	5530	877
863	5540	872
864	5547	865
865	5558	860
866	5564	853
867	5576	847
868	5583	841
869	5589	835
870	5597	828
871	5606	822
872	5613	816
873	5620	810
874	5626	803
875	5633	797
876	5640	791
877	5645	784
878	5650	777
879	5657	771
880	5662	764
881	5671	758
882	5677	752
883	5683	745
884	5689	739
885	5695	732
886	5706	726
887	5714	720
888	5721	714
889	5738	709
890	5744	702
891	5750	696
892	5757	689
893	5767	683
894	5776	677
895	5782	671
896	5788	664
897	5797	658
898	5803	652
899	5809	645
900	5815	638
901	5820	632
902	5828	626
903	5834	619
904	5841	613
905	5847	606
906	5852	600
907	5862	593
908	5868	587
909	5873	580
910	5880	574
911	5888	568
912	5896	561
913	5903	555
914	5911	549
915	5925	543
916	5935	537
917	5940	530
918	5945	524
919	5956	517
920	5961	511
921	5966	504
922	5973	498
923	5979	491
924	5986	485
925	5992	478
926	5998	472
927	6004	465
928	6012	459
929	6019	453
930	6025	446
931	6030	440
932	6037	433
933	6043	427
934	6050	420
935	6056	414
936	6061	407
937	6070	401
938	6083	395
939	6090	388
940	6103	382
941	6113	376
942	6118	369
943	6124	363
944	6130	356
945	6136	350
946	6144	343
947	6149	337
948	6156	330
949	6162	324
950	6170	317
951	6176	311
952	6182	304
953	6189	298
954	6194	291
955	6201	285
956	6207	278
957	6214	272
958	6219	265
959	6225	259
960	6232	252
961	6238	246
962	6246	239
963	6253	233
964	6260	227
965	6270	220
966	6283	214
967	6288	207
968	6297	201
969	6303	194
970	6310	188
971	6315	181
972	6325	175
973	6330	168
974	6337	162
975	6342	155
976	6348	149
977	6357	143
978	6364	136
979	6371	130
980	6377	123
981	6383	117
982	6390	110
983	6396	104
984	6401	97
985	6407	90
986	6413	84
987	6426	78
988	6432	71
989	6439	65
990	6454	58
991	6465	52
992	6472	45
993	6477	39
994	6487	32
995	6493	26
996	6499	19
997	6505	13
998	6512	6
999	6519	0
